"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"41","Elliott Fry (ATL)","1","1","100.0","23","0","1","0","0","0","1","2","1","4.0","4.0","0.5%"
"42","Jonathan Brown (JAC)","1","2","50.0","31","0","0","1","0","0","1","1","1","4.0","4.0","0.0%"
"43","Stephen Hauschka (FA)","0","2","0.0","0","0","0","0","0","0","2","2","1","2.0","2.0","0.2%"
"44","Taylor Russolino (DEN)","0","1","0.0","0","0","0","0","0","0","1","3","1","1.0","1.0","0.1%"
"45","Brandon Wright (LAR)","0","0","0","0","0","0","0","0","0","1","2","1","1.0","1.0","0.0%"
"46","Taylor Bertolet (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"47","Roberto Aguayo (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"48","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.3%"
"49","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"50","Cameron Nizialek (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Dominik Eberle (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"53","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Lirim Hajrullahu (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","JJ Molson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Eddy Pineiro (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"58","Greg Joseph (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Kaare Vedvik (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"60","Ryan Santoso (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Tristan Vizcaino (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Matt McCrane (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Giorgio Tavecchio (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"76","Brett Maher (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","15","-2.8","-0.2","0.6%"
""
""
